,x_term,x_term_trans,y_term_proukraine,y_term_prorussia,x_final,y_proU_final,y_proR_final,cluster
S309U,-1.0,0.0,0.0,0.5322428207238044,0.0,0.0,0.5107608799056204,1
S310U,-1.0,0.0,0.0,0.8734858305137808,0.0,0.0,0.6556674603520378,1
S311U,-1.0,0.0,0.0,0.7680633284814851,0.0,0.0,0.5984800428734015,1
S312U,-0.9252956628452038,0.03735216857739809,1.0,0.52679524249779,0.2529200282908483,1.0,0.5089393600771882,2
S313U,-0.9577634616471655,0.021118269176417237,1.0,0.43694546553980773,0.2177618086964262,1.0,0.4788818965491578,2
S314U,-0.9458143019082971,0.027092849045851464,1.0,0.4580000723364075,0.23260267635703974,1.0,0.48597063964665366,2
S315U,-1.0,0.0,0.0,0.6582234336293232,0.0,0.0,0.5543994196051706,1
S316U,-1.0,0.0,0.0,0.7509344107447944,0.0,0.0,0.5909435538308916,1
S317U,-1.0,0.0,0.0,0.867749288596119,0.0,0.0,0.6518242966689831,1
S318U,-1.0,0.0,0.0,0.5697400212380821,0.0,0.0,0.523382143302596,1
S319U,-1.0,0.0,0.0,0.45235115819706284,0.0,0.0,0.48407409700220483,1
S320U,-0.9217675347422877,0.03911623262885616,1.0,0.3688499506814752,0.25595396481473937,1.0,0.45535639781347914,2
S321U,-1.0,0.0,0.0,0.5146016539234267,0.0,0.0,0.5048684484612465,1
S322U,-0.9127194111163667,0.04364029444181666,1.0,0.526633963686397,0.26326811634407304,1.0,0.5088854636967816,2
S323U,-0.9171634471863878,0.04141827640680612,1.0,0.4685029909519661,0.25975464247922864,1.0,0.4894886252135874,2
S324U,-1.0,0.0,0.0,0.5479295584303727,0.0,0.0,0.5160202415176702,1
S325U,-1.0,0.0,0.0,0.7793974675378817,0.0,0.0,0.6036554116170029,1
S326U,-1.0,0.0,0.0,0.5150022992673077,0.0,0.0,0.505002101036584,1
S327U,-1.0,0.0,0.0,0.9227035045748563,0.0,0.0,0.6956256105557085,1
S328U,-1.0,0.0,0.0,0.9232129344202444,0.0,0.0,0.696131012440572,1
S329U,-0.9496823870930722,0.02515880645346391,1.0,0.5878812859136344,0.22810857175582336,1.0,0.5295665973317293,2
S330U,-1.0,0.0,0.0,0.7951480096740368,0.0,0.0,0.6111337024368145,1
S331U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S332U,-0.868893470417655,0.06555326479117252,1.0,0.694938478684921,0.2919985709233347,1.0,0.5681817625007419,2
S333U,-0.9361463145387792,0.031926842730610416,1.0,0.6626011597810921,0.24281884745842958,1.0,0.5560062795577579,2
S334U,-1.0,0.0,0.0,0.4535380595110846,0.0,0.0,0.48447287142968104,1
S335U,-0.9150044401632873,0.04249777991835635,0.6989700043360187,0.636396159284619,0.2614796750649676,0.569742173380174,0.546511501458064,2
S336U,-0.9562363768825008,0.021881811558749575,1.0,0.4895343893968821,0.2198298417784473,1.0,0.4965110101675511,2
S337U,-1.0,0.0,0.0,0.5009037838320498,0.0,0.0,0.5003012615689982,1
S338U,-0.93492692504539,0.032536537477305005,1.0,0.5692233946547878,0.24401878391986573,1.0,0.5232069245940336,2
S339U,-1.0,0.0,0.0,0.9404699440091043,0.0,0.0,0.7150352025747719,1
S340U,-1.0,0.0,0.0,0.7289174787899155,0.0,0.0,0.5816894014942056,1
S341U,-0.913495785878654,0.043252107060673006,1.0,0.3523979785408864,0.2626646554895375,1.0,0.449463552677791,2
S342U,-1.0,0.0,0.0,0.9829844019888136,0.0,0.0,0.7944816012116195,1
S343U,-1.0,0.0,0.0,0.7884735162930134,0.0,0.0,0.6079213052205655,1
S344U,-1.0,0.0,0.0,0.3119570482208245,0.0,0.0,0.43446374170227753,1
S345U,-0.9274628170011899,0.036268591499405034,1.0,0.903037745514364,0.2509998507308827,1.0,0.6778293515243803,2
S346U,-1.0,0.0,0.0,0.7202113469020055,0.0,0.0,0.5781467113992743,1
