,RT_war,prop_war_RTs,frequency_weeks,nb_mentors_prorussia,nb_mentors_proukraine,Betweenness_centrality,Closeness_centrality,PageRank
S448U,102,0.0089701873186175,0.7777777777777778,7.0,0.0,0.0,0.3426361802286483,0.0003443669659691
S246U,102,0.0248416950803701,0.7037037037037037,7.0,0.0,0.0002401522721965,0.3454237288135593,0.0003529181961466
S424U,101,0.0058206546795758,0.8518518518518519,6.0,1.0,0.0003192545373039,0.4797551789077213,0.0003343403238784
S363U,101,0.0028075832545727,0.8888888888888888,8.0,0.0,0.0002400413074234,0.3458927359131025,0.0003457754600678
S204U,101,0.0385938097057699,0.925925925925926,7.0,0.0,0.0002338891735341,0.3454237288135593,0.0003573742317976
S414U,100,0.0062786463238525,0.7777777777777778,5.0,0.0,0.0,0.3419463087248322,0.0003309510800641
S393U,100,0.1003009027081243,0.8518518518518519,2.0,0.0,0.0,0.3380889183808891,0.0003141948544117
S253U,98,0.0194869755418572,0.8148148148148148,5.0,0.0,0.0002838365605522,0.3419463087248322,0.0003184686352184
S477U,98,0.0157657657657657,0.8148148148148148,6.0,0.0,0.0,0.345189701897019,0.0003236374806512
S455U,97,0.0113317757009345,0.5185185185185185,4.0,1.0,0.0,0.4788533834586466,0.0003161640250182
S257U,97,0.0010935985027847,0.7407407407407407,5.0,1.0,0.0,0.4627611262488647,0.0003338551041816
S193U,97,0.0218764095624718,0.7777777777777778,4.0,0.0,0.0,0.3417169684775318,0.0003389355553155
S323U,97,0.003254269131412,0.8888888888888888,6.0,1.0,0.0014505958278915,0.4797551789077213,0.0003328974389535
S187U,96,0.0039413720901588,0.8518518518518519,8.0,0.0,0.0002400413074234,0.3458927359131025,0.000337328820968
S462U,96,0.0042051776249507,0.8518518518518519,4.0,0.0,0.0,0.3408026755852842,0.0003238260926267
S387U,95,0.0067871686790026,0.7777777777777778,7.0,2.0,0.0019800352386813,0.4585958595859586,0.0004126631529784
S236U,94,0.0144726712856043,0.8888888888888888,6.0,0.0,0.0013588210967135,0.3437921727395411,0.0003366075759099
S379U,94,0.0114146933819064,0.8148148148148148,4.0,0.0,0.0,0.3408026755852842,0.0003312425519388
S466U,94,0.0064277899343544,0.7407407407407407,4.0,0.0,0.0002887257314655,0.3398932621747831,0.0003111962846994
S237U,93,0.0196078431372549,0.7407407407407407,5.0,0.0,0.0004843959682634,0.3449559918754231,0.0003111492211162
S315U,93,0.0425824175824175,0.7407407407407407,4.0,0.0,0.0004802841763823,0.3378647214854111,0.0003407532646585
S270U,93,0.0042411528639182,0.4444444444444444,6.0,0.0,0.0,0.3440243079000675,0.0003127803832641
S341U,92,0.0035800451396995,0.8148148148148148,6.0,1.0,0.0,0.4797551789077213,0.0003314349024797
S359U,92,0.006113769271664,0.7777777777777778,6.0,1.0,0.0036655095265294,0.4631818181818182,0.0003113529445185
S106U,92,0.0570365778053316,0.7037037037037037,4.0,0.0,0.0,0.3417169684775318,0.0003024944639698
S207U,92,0.0046270683498466,0.8148148148148148,6.0,0.0,0.0,0.3421759570181329,0.0003243713821157
S435U,92,0.0091143253417872,0.9629629629629628,7.0,0.0,0.0002347680231125,0.3463630183548606,0.0003521214789881
S322U,91,0.0062281842447471,0.5185185185185185,7.0,1.0,0.0,0.4802073515551366,0.0003289827401695
S486U,91,0.0030188428874734,0.4814814814814814,8.0,0.0,0.0,0.3458927359131025,0.000310495612312
